"date","odometer","fuel","price","mpg","full"
"2014-01-14","80019","20.53","72.26","14.92","1"
"2014-01-10","79713","18.79","67.46","13.39","1"
"2013-12-30","79461","26.77","95.8","13.42","1"
"2013-12-10","79102","24.22","84.52","12.93","1"
"2013-11-22","78789","18.92","64.31","13.43","1"
"2013-11-13","78535","23.71","82.95","13.6","1"
"2013-11-01","78212","22.94","81.17","13.49","1"
"2013-10-17","77903","14.97","54.78","12.87","1"
"2013-10-05","77710","19.99","75.93","13.87","1"
"2013-09-23","77433","24.41","94.2","13.93","1"
"2013-09-06","77093","19.38","71.3","13.69","1"
"2013-08-20","76828","25.52","94.9","14.22","1"
"2013-08-09","76465","24.82","93.81","14.59","1"
"2013-08-06","76103","23.77","90.3","15.26","1"
"2013-08-02","75740","17.94","69.94","14.76","1"
"2013-07-27","75475","25.51","102","15.34","1"
"2013-07-23","75084","25.68","102.71","15.36","1"
"2013-07-20","74689","26.03","106.71","15.37","1"
"2013-07-13","74289","20.94","83.34","14.98","1"
"2013-07-08","73975","24.96","99.3","15.59","1"
"2013-07-03","73586","23.29","92.69","13.88","1"
"2013-06-23","73263","25.2","100.79","14.77","1"
"2013-06-16","72891","24.92","103.13","16.4","1"
"2013-06-06","72482","23.35","91.05","15.04","1"
"2013-05-29","72131","23.32","93.26","15.29","1"
"2013-05-20","71774","26.59","107.41","15.4","1"
"2013-05-09","71365","25.22","98.35","14.34","1"
"2013-05-01","71003","23.95","91.45","14.45","1"
"2013-04-18","70657","24.74","96.48","14.55","1"
"2013-04-09","70297","25.31","100.19","14.36","1"
"2013-03-29","69934","24.51","99","15.28","1"
"2013-03-21","69559","22.02","89.38","14.36","1"
"2013-03-13","69243","25.86","108.59","14.85","1"
"2013-03-08","68859","18.07","76.97","15.03","1"
"2013-03-03","68587","22.25","94.76","14.38","1"
"2013-02-25","68267","26.52","114.03","14.03","1"
"2013-02-14","67895","25.3","106.23","14.34","1"
"2013-02-07","67532","24.57","100.22","14.46","1"
"2013-01-29","67177","20.06","75","14.05","1"
"2013-01-24","66940","20.5","75","13.73","0"
"2013-01-16","66607","24.72","89.94","13.4","1"
"2013-01-09","66333","20.84","75","13.48","0"
"2013-01-03","65996","25.08","91.75","13.55","1"
"2012-12-23","65656","26.45","92.58","13.55","1"
